participant_id,activity,phase,window_id,start_time,end_time,mean_ENMO,sd_ENMO,median_ENMO,mad_ENMO,min_ENMO,max_ENMO,range_ENMO,dom_freq,spectral_entropy,energy_band_1,energy_band_2,energy_band_3,zero_crossing_rate
GOAWE,marche spontanee,1,14,2024-09-19T15:49:35Z,2024-09-19T15:49:39.966667Z,0.00523737382992166,0.231309981281106,-0.0686241451803515,0.191704739323473,-0.365059259369924,0.628480664846127,0.993539924216051,1.82432432432432,1.96621119087661,0.00110905824040182,0.737231544366783,0.254159449453766,0.16
GOAWE,marche spontanee,1,15,2024-09-19T15:49:40Z,2024-09-19T15:49:44.966667Z,0.00560419263009321,0.239592833223267,-0.0794051541154898,0.218235569150951,-0.398178190430165,0.719810975642894,1.11798916607306,1.82432432432432,2.07063477618149,0.00426064358913181,0.81347352049907,0.172457601474933,0.16
GOAWE,marche spontanee,1,16,2024-09-19T15:49:45Z,2024-09-19T15:49:49.966667Z,0.0128018387338075,0.238830110986846,-0.0663409488624998,0.237998575831526,-0.353672454473145,0.541869542623907,0.895541997097052,1.82432432432432,1.73251920987993,0.000965355340101133,0.781469819920783,0.197053133964357,0.193333333333333
GOAWE,marche spontanee,1,17,2024-09-19T15:49:50Z,2024-09-19T15:49:54.966667Z,0.00580187836945545,0.221640950062976,-0.0621501316606438,0.191723590211096,-0.359515876510163,0.590674527181883,0.950190403692045,1.82432432432432,1.69862105938387,0.00016246312279213,0.802374596369331,0.182992251580515,0.166666666666667
GOAWE,marche spontanee,1,18,2024-09-19T15:49:55Z,2024-09-19T15:49:59.966667Z,0.0101613702997995,0.198001658362698,-0.0298903996799723,0.157431382971137,-0.35232368494894,0.673961095051258,1.0262847800002,1.82432432432432,2.22176113504321,0.00204225378623975,0.688172911711678,0.302111039352141,0.18
GOAWE,marche spontanee,1,19,2024-09-19T15:50:00Z,2024-09-19T15:50:04.966667Z,0.00621244763149178,0.229367131564248,-0.0463707184396549,0.225988762479981,-0.366449049867855,0.654560252552928,1.02100930242078,1.82432432432432,1.94837770046154,0.00275166467918812,0.874759254282006,0.110237128105603,0.133333333333333
GOAWE,marche spontanee,1,20,2024-09-19T15:50:05Z,2024-09-19T15:50:09.966667Z,0.0135838087186429,0.270795591453353,-0.0435373917561828,0.196200577603797,-0.478040308448903,1.03315055271432,1.51119086116322,1.82432432432432,2.49627488783413,0.00979440090229577,0.73579002098479,0.242200130637838,0.16
GOAWE,marche spontanee,1,21,2024-09-19T15:50:10Z,2024-09-19T15:50:14.966667Z,0.0207679294636648,0.254658583201582,-0.0301505446911644,0.274897390904066,-0.403454489045025,0.904865909360497,1.30832039840552,1.82432432432432,2.21312382646939,0.00414917817220731,0.85480340132277,0.135352082540867,0.146666666666667
GOAWE,marche spontanee,1,22,2024-09-19T15:50:15Z,2024-09-19T15:50:19.966667Z,0.0101896479530739,0.260276666050748,-0.0562915261508171,0.229706494597735,-0.398066939900417,0.827756874769451,1.22582381466987,1.82432432432432,2.33695620177936,0.00822612690985725,0.817093054116956,0.169099165094348,0.133333333333333
GOAWE,marche spontanee,1,23,2024-09-19T15:50:20Z,2024-09-19T15:50:24.966667Z,0.03016219417754,0.261529981426174,-0.0148342587875207,0.303030279401832,-0.432938200903905,0.776788415438466,1.20972661634237,2.02702702702703,2.13199504463703,0.00977513989168787,0.828823451922926,0.15639661641249,0.146666666666667
